dish_id,rank_equal,shift_equal,rank_carbon_200,shift_carbon_200,rank_water_scarce,shift_water_scarce,rank_planetary,shift_planetary,rank_energy_only,shift_energy_only,rank_carbon_only,shift_carbon_only,rank_water_only,shift_water_only
clam_chowder,65.0,0.0,87.0,22.0,72.0,7.0,83.0,18.0,64.0,1.0,110.0,45.0,71.0,6.0
club_sandwich,19.0,0.0,21.0,2.0,22.0,3.0,22.0,3.0,20.0,1.0,51.0,32.0,56.0,37.0
coleslaw,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,24.0,21.0,3.0,0.0,3.0,0.0
com_tam,114.0,0.0,119.0,5.0,124.0,10.0,121.0,7.0,101.0,13.0,111.0,3.0,129.0,15.0
congee,35.0,0.0,36.0,1.0,30.0,5.0,32.0,3.0,56.0,21.0,38.0,3.0,31.0,4.0
coq_au_vin,146.0,0.0,138.0,8.0,139.0,7.0,138.0,8.0,154.5,8.5,130.0,16.0,123.0,23.0
cornbread,84.0,0.0,69.0,15.0,68.0,16.0,68.0,16.0,130.0,46.0,57.0,27.0,35.0,49.0
creme_brulee,102.0,0.0,93.0,9.0,91.0,11.0,92.0,10.0,114.0,12.0,90.0,12.0,67.0,35.0
crepe,48.0,0.0,42.0,6.0,40.0,8.0,41.0,7.0,74.0,26.0,45.0,3.0,33.0,15.0
croissant,87.0,0.0,78.0,9.0,74.0,13.0,74.0,13.0,117.0,30.0,69.0,18.0,48.0,39.0
dal,44.0,0.0,32.0,12.0,49.0,5.0,36.0,8.0,61.0,17.0,8.0,36.0,63.0,19.0
dan_dan_noodles,50.0,0.0,54.0,4.0,63.0,13.0,55.0,5.0,35.5,14.5,41.0,9.0,79.0,29.0
dim_sum,40.0,0.0,48.0,8.0,46.0,6.0,48.0,8.0,29.0,11.0,68.0,28.0,61.0,21.0
dolma,33.0,0.0,30.0,3.0,33.0,0.0,31.0,2.0,30.0,3.0,19.0,14.0,43.0,10.0
donburi,103.0,0.0,115.0,12.0,123.0,20.0,119.0,16.0,70.0,33.0,124.0,21.0,132.0,29.0
dosa,47.0,0.0,37.0,10.0,41.0,6.0,37.0,10.0,85.0,38.0,18.0,29.0,37.0,10.0
dumplings,45.0,0.0,44.0,1.0,57.0,12.0,52.0,7.0,28.0,17.0,44.0,1.0,83.0,38.0
edamame,25.0,0.0,19.0,6.0,20.0,5.0,17.0,8.0,46.0,21.0,11.0,14.0,13.0,12.0
elote,51.0,0.0,40.0,11.0,35.0,16.0,39.0,12.0,92.0,41.0,34.0,17.0,21.0,30.0
enchilada,118.0,0.0,114.0,4.0,109.0,9.0,110.0,8.0,133.0,15.0,112.0,6.0,95.0,23.0
escargot,76.0,0.0,64.0,12.0,58.0,18.0,58.0,18.0,121.0,45.0,39.0,37.0,25.0,51.0
