category,from_dish,to_dish,E_reduction_pct,H_change,E_from,E_to,H_from,H_to
Wrapped/Stuffed,shawarma,dumplings,48.79270576341936,-0.07800000000000029,0.3031312637237955,0.1552253181381092,7.158,7.08
Wrapped/Stuffed,shawarma,fresh_spring_roll,82.4730970893004,-0.03900000000000059,0.3031312637237955,0.0531295222848464,7.158,7.119
Wrapped/Stuffed,shawarma,sushi,78.87900316481871,-0.18400000000000016,0.3031312637237955,0.0640243446175479,7.158,6.974
Wrapped/Stuffed,shawarma,tamale,54.71777233148723,0.08899999999999952,0.3031312637237955,0.1372645889738489,7.158,7.247
Wrapped/Stuffed,shawarma,arepa,48.84451803547181,0.4694052214622495,0.3031312637237955,0.1550682589430726,7.158,7.62740522146225
Wrapped/Stuffed,shawarma,pierogi,53.01330460949377,0.24037057995796207,0.3031312637237955,0.1424313635192919,7.158,7.398370579957962
Wrapped/Stuffed,shawarma,pupusa,35.47416738575453,0.27824413943290693,0.3031312637237955,0.1955979718318633,7.158,7.436244139432907
Wrapped/Stuffed,shawarma,roti_caribbean,35.08332765552188,-0.208976002454758,0.3031312637237955,0.1967827292452522,7.158,6.949023997545242
Wrapped/Stuffed,spanakopita,dumplings,43.37549182593472,-0.28500000000000014,0.2741309781639822,0.1552253181381092,7.365,7.08
Wrapped/Stuffed,spanakopita,fresh_spring_roll,80.61892798811489,-0.24600000000000044,0.2741309781639822,0.0531295222848464,7.365,7.119
Wrapped/Stuffed,spanakopita,sushi,76.64461526881897,-0.391,0.2741309781639822,0.0640243446175479,7.365,6.974
Wrapped/Stuffed,spanakopita,tamale,49.927370524414535,-0.11800000000000033,0.2741309781639822,0.1372645889738489,7.365,7.247
Wrapped/Stuffed,spanakopita,arepa,43.43278531246021,0.26240522146224965,0.2741309781639822,0.1550682589430726,7.365,7.62740522146225
Wrapped/Stuffed,spanakopita,pierogi,48.04258735249871,0.03337057995796222,0.2741309781639822,0.1424313635192919,7.365,7.398370579957962
Wrapped/Stuffed,spring_rolls,dumplings,46.5475360756968,0.23500000000000032,0.2903988081034614,0.1552253181381092,6.845,7.08
Wrapped/Stuffed,spring_rolls,fresh_spring_roll,81.70463486684912,0.274,0.2903988081034614,0.0531295222848464,6.845,7.119
Wrapped/Stuffed,spring_rolls,sushi,77.9529588858582,0.12900000000000045,0.2903988081034614,0.0640243446175479,6.845,6.974
Wrapped/Stuffed,spring_rolls,tamale,52.732385552717155,0.40200000000000014,0.2903988081034614,0.1372645889738489,6.845,7.247
Wrapped/Stuffed,spring_rolls,arepa,46.60162004252239,0.7824052214622501,0.2903988081034614,0.1550682589430726,6.845,7.62740522146225
Wrapped/Stuffed,spring_rolls,pierogi,50.953185913715124,0.5533705799579627,0.2903988081034614,0.1424313635192919,6.845,7.398370579957962
Wrapped/Stuffed,spring_rolls,pupusa,32.64505005744482,0.5912441394329075,0.2903988081034614,0.1955979718318633,6.845,7.436244139432907
Wrapped/Stuffed,spring_rolls,roti_caribbean,32.23707406707271,0.10402399754524261,0.2903988081034614,0.1967827292452522,6.845,6.949023997545242
Wrapped/Stuffed,taco,banh_mi,38.70554543437931,0.19899999999999984,0.418539769036379,0.2565416685710571,7.05,7.249
Wrapped/Stuffed,taco,burrito,33.98442576528727,-0.22299999999999986,0.418539769036379,0.276301431930006,7.05,6.827
Wrapped/Stuffed,taco,dumplings,62.91264782424603,0.03000000000000025,0.418539769036379,0.1552253181381092,7.05,7.08
Wrapped/Stuffed,taco,fresh_spring_roll,87.30597992941779,0.06899999999999995,0.418539769036379,0.0531295222848464,7.05,7.119
Wrapped/Stuffed,taco,naan,48.9148633368445,0.15300000000000047,0.418539769036379,0.2138116130018896,7.05,7.203
Wrapped/Stuffed,taco,pita,47.08444695884435,-0.008000000000000007,0.418539769036379,0.2214726334827755,7.05,7.042
Wrapped/Stuffed,taco,quesadilla,46.00386061221804,-0.2729999999999997,0.418539769036379,0.2259953170821839,7.05,6.777
Wrapped/Stuffed,taco,samosa,38.71847522014017,0.29300000000000015,0.418539769036379,0.2564875522755967,7.05,7.343
Wrapped/Stuffed,taco,spanakopita,34.50300343140032,0.3150000000000004,0.418539769036379,0.2741309781639822,7.05,7.365
Wrapped/Stuffed,taco,spring_rolls,30.616197172359914,-0.20500000000000007,0.418539769036379,0.2903988081034614,7.05,6.845
Wrapped/Stuffed,taco,sushi,84.7029244640351,-0.07599999999999962,0.418539769036379,0.0640243446175479,7.05,6.974
Wrapped/Stuffed,taco,tamale,67.20393159056816,0.19700000000000006,0.418539769036379,0.1372645889738489,7.05,7.247
Wrapped/Stuffed,taco,arepa,62.95017333714965,0.57740522146225,0.418539769036379,0.1550682589430726,7.05,7.62740522146225
Wrapped/Stuffed,taco,pierogi,65.9694552211329,0.3483705799579626,0.418539769036379,0.1424313635192919,7.05,7.398370579957962
Wrapped/Stuffed,taco,pupusa,53.26657433720183,0.3862441394329075,0.418539769036379,0.1955979718318633,7.05,7.436244139432907
Wrapped/Stuffed,taco,roti_caribbean,52.983505080457945,-0.10097600245475746,0.418539769036379,0.1967827292452522,7.05,6.949023997545242
Wrapped/Stuffed,taco,tiropita,32.51030248268484,0.7168634909617753,0.418539769036379,0.2824712241123217,7.05,7.766863490961775
Wrapped/Stuffed,tamale,fresh_spring_roll,61.294079789967945,-0.1280000000000001,0.1372645889738489,0.0531295222848464,7.247,7.119
