dish_id,E_original,E_mc_mean,E_mc_median,E_mc_p5,E_mc_p25,E_mc_p75,E_mc_p95,E_90CI_width,E_relative_uncertainty
escargot,0.22905787543792,0.1887453505890864,0.18501469284612326,0.12942703617056553,0.1605127221770644,0.21319353545880665,0.26119632895968986,0.13176929278912433,0.7122098832373106
fajita,0.2319769200463485,0.18359843436914203,0.18046905852166506,0.12883246419168548,0.1576115541993218,0.2057210885798889,0.2495602592903576,0.12072779509867212,0.6689667253080889
falafel,0.3067878357769481,0.2514851366722262,0.2472186311954795,0.1769694311331303,0.21653864890259716,0.28168675813486177,0.34091355007712215,0.16394411894399186,0.663154383434632
fish_and_chips,0.3253698736066217,0.267863022575479,0.26328123693199135,0.18809628526547914,0.22956225671695069,0.3009738801053437,0.36549170395511094,0.1773954186896318,0.6737867869234264
french_fries,0.247277363637544,0.20637133348984904,0.2015018071774453,0.1372750325631431,0.1724526603866514,0.23529773315622882,0.2920605691334447,0.15478553657030159,0.7681595452590422
french_onion_soup,0.2794902450794066,0.2170378386284598,0.20868032541603843,0.14158283967693738,0.17765690395168374,0.24642409054213305,0.32166141866636894,0.18007857898943155,0.8629398992474034
fresh_spring_roll,0.0531295222848464,0.033937880978829105,0.030888005111114537,0.015458631812001467,0.023319172215511677,0.041318806614377555,0.06215619208557187,0.0466975602735704,1.5118347755247896
fried_chicken,0.393529317972158,0.3169559339145259,0.31175896899178757,0.2235529624222188,0.2718551635772503,0.35609301969302976,0.42740372255727827,0.20385076013505946,0.6538729608784065
fried_rice,0.2050187887838639,0.16042766593516916,0.15787337432694937,0.11483940153652933,0.1384788630421685,0.179625788083319,0.21543761817610496,0.10059821663957563,0.637208250399721
gazpacho,0.0402863263051759,0.022767312491542343,0.0219577466988423,0.01250616750361179,0.01771170898516509,0.026940772063018717,0.03542797551336235,0.022921808009750563,1.0439052933860054
gelato,0.0648149325917145,0.04175434759895374,0.040178638638256554,0.023066915984059595,0.0322516077818167,0.04959814320054186,0.0656761075280302,0.04260919154397061,1.0604936600166381
general_tso,0.3714217975765348,0.29990362053381925,0.29506409404430184,0.21313687444458354,0.2593252955745759,0.33546971235099576,0.40282166297894856,0.18968478853436502,0.6428596103797203
gnocchi,0.1493656341086219,0.11685756519204872,0.11507260191375487,0.0830828195380038,0.10099681252376624,0.13062712458734826,0.15646082674719924,0.07337800720919545,0.6376670553099262
green_curry,0.2611478475643975,0.19911588080693543,0.1958258935335471,0.13973184375505132,0.17057671932631085,0.22380392768851903,0.2697187253910722,0.1299868816360209,0.663788017460279
grilled_cheese,0.1882054209607936,0.14889984535506245,0.1463085240325503,0.10486326147090373,0.12785739637839494,0.16689155415297885,0.20323102396285708,0.09836776249195335,0.6723310425171727
guacamole,0.0347126588909858,0.018672622915095367,0.01741235845215784,0.008341980828463177,0.013091544281963467,0.022893268372432305,0.03307524652882184,0.024733265700358664,1.420443173641051
gyro,0.4052126119464612,0.32444391715843396,0.31206777585670126,0.21050432097452187,0.2655714547200748,0.37011052728075594,0.4788051241930956,0.26830080321857375,0.8597517077244626
hamburger,0.5502933141427692,0.43062549819402446,0.40918008237610426,0.25189902122387353,0.33287590919517235,0.5065968110828396,0.7036851772392563,0.45178615601538274,1.1041254828237619
hot_and_sour_soup,0.1340866392818403,0.1045834495139379,0.10282028004234592,0.07458278895234426,0.08973240144641272,0.11748173992972914,0.1412086409248302,0.06662585197248595,0.6479835684657393
hummus,0.0956000970923752,0.06367051590239725,0.06181853059250169,0.03682830239387834,0.050350953010339566,0.0748453047795963,0.0972816238217161,0.060453321427837756,0.9779158586983702
ice_cream,0.0838113240686453,0.05607681000028389,0.05339650015677895,0.030448277515355043,0.04258553151446545,0.06664536049944036,0.09127082710288599,0.060822549587530944,1.1390737109913227
japchae,0.2850385521038225,0.223667847435264,0.21457208293177035,0.1429615330284142,0.18081349480929135,0.25668677601977385,0.3331914880093215,0.19022995498090733,0.8865550093084414
katsu,0.3813776644673086,0.3096877064685442,0.30319537053796247,0.21328347383517698,0.2636158566650296,0.3498734415495699,0.424998662907927,0.21171518907275,0.6982797550539829
kebab,0.4289247527784806,0.3375240190456876,0.32035529546792696,0.20446411269520062,0.2644890607121528,0.39117560323930894,0.535011740266749,0.33054762757154843,1.0318157128906955
kimbap,0.1364470620417334,0.0965176660789359,0.09114205806903045,0.05079833172573336,0.07253506048330223,0.11514378820360592,0.16016206648689518,0.10936373476116182,1.199926105227187
kimchi,0.0107893163244967,0.0009796841077803087,0.0006449919379424789,1e-06,1e-06,0.0015303115050839286,0.0032490790196328338,0.0032480790196328336,5.03584437038731
kimchi_jjigae,0.1738305685587496,0.1358743697974613,0.1330733980983191,0.09444811645636977,0.11554287747110825,0.15312900571494517,0.18646821292657875,0.09202009647020898,0.6914988103198615
korean_fried_chicken,0.3907836556182036,0.31466402378467084,0.31038736265949085,0.22155512286051435,0.2702649491813518,0.3533376447623743,0.4249024296066833,0.20334730674616894,0.6551404187458826
korma,0.2480675328093393,0.19050996777673107,0.18638726668532882,0.131565624337659,0.16226550494219555,0.21475583076472857,0.2613935335290165,0.1298279091913575,0.6965492412662582
kung_pao_chicken,0.2407579913425084,0.18693497421190153,0.1831341410010464,0.13016544395913976,0.15908243973249864,0.21060025106585423,0.2566248556914288,0.12645941173228903,0.6905288715748881
larb,0.2198598697019789,0.17428971392333292,0.1691946699320912,0.11591213305878934,0.14459360057161622,0.19804310995939148,0.2499268524362277,0.13401471937743836,0.7920741204863437
lasagna,0.5943961798471784,0.4673865881814158,0.4497560658932245,0.2991770790367692,0.3799973406921882,0.5363265360258024,0.7029972117478085,0.4038201327110393,0.8978647834555482
lo_mein,0.1958151798842702,0.15365121451219624,0.1511450106463381,0.10982503501023519,0.13304780892151566,0.17161939226296746,0.20522245005517153,0.09539741504493635,0.6311648306284837
lobster_roll,0.1997214767272574,0.15787538760266992,0.1519847017022141,0.10382633311244475,0.12933068554882876,0.1794144671751318,0.23330369453301458,0.12947736142056981,0.8519104881638466
mac_and_cheese,0.3013898684318615,0.24262185113881224,0.23858554317042618,0.1730512604275423,0.20865027236370814,0.27161840879757915,0.3275545723227572,0.1545033118952149,0.6475803598244436
mango_sticky_rice,0.1575942646055001,0.11928405453714556,0.11750115047614144,0.08459969973374298,0.10333971445987383,0.133532951641,0.16015168528459428,0.0755519855508513,0.6429893260167874
mapo_tofu,0.2133064982371322,0.16739593374185688,0.16497008880749148,0.11958747917097383,0.14467464054515883,0.18706508897236362,0.22359706588524103,0.1040095867142672,0.6304754241578854
massaman_curry,0.5748645506702768,0.4385698667745002,0.4175081308974096,0.253175961392507,0.3390082944639407,0.5197319196270013,0.7108086894848225,0.4576327280923155,1.09610494796511
minestrone,0.1196048159520431,0.09374324469715307,0.09178346296923809,0.06435963320079824,0.07980277198219603,0.10583250243693433,0.12915007609534931,0.06479044289455108,0.7059054082135262
miso_soup,0.1090529409366971,0.0859911741595976,0.08410490619464188,0.057682477809574396,0.07211275529251279,0.09770772098690814,0.12160304767341613,0.06392056986384173,0.7600100012704605
moussaka,0.5167985075858745,0.40885336302940134,0.3940537228191497,0.2672357521911806,0.33419065983986934,0.46680488499076955,0.6056338959767388,0.33839814378555816,0.8587614434006132
naan,0.2138116130018896,0.17626695398396747,0.17212867004411397,0.1198387182944181,0.1488172883274567,0.19891249770622055,0.24722450570064064,0.12738578740622253,0.7400614166923818
