dish_id,price_tier,n_mentions,H_mean,H_std
quesadilla,3,6,7.094711383183797,1.8411974314366624
quiche,1,114,7.442503336228822,1.3402049483655862
quiche,2,352,7.269499233500524,1.5461587575832727
quiche,3,18,6.906471543841892,1.9706325707186436
raita,1,28,6.367765384060996,2.264680074711693
raita,2,424,6.893409614855388,1.841550064131574
raita,3,25,7.592704334259033,0.8741468881920176
ramen,1,17,7.179020853603587,1.5127318725331262
ramen,2,445,7.0182207482584404,1.7671633324362443
ratatouille,1,17,7.245188993566177,1.5223125563908064
ratatouille,2,359,7.2446654859027495,1.5454385705655251
ratatouille,3,103,7.235400280906159,1.348125958927241
ratatouille,4,5,6.335865116119384,2.540288075497311
ravioli,1,21,6.82158396925245,1.8446581518200722
ravioli,2,364,7.181993079709483,1.6523103131160366
ravioli,3,97,7.423470167769599,1.161717212292566
ravioli,4,8,7.502894043922424,1.0700665207260978
red_curry,1,43,7.290698206701944,1.438421883512467
red_curry,2,431,7.172442704784898,1.6015435897056587
red_curry,3,10,6.0252353072166445,2.6613032686567313
ribs,1,44,7.007815707813609,1.8044990035166657
ribs,2,403,7.048313913510987,1.7427200238237501
ribs,3,29,7.108088583781801,1.4574021210804482
risotto,2,317,7.031240571184489,1.8053799423016703
risotto,3,153,7.148362412172205,1.6313914538716914
risotto,4,19,7.175644159317017,1.4114285988059048
samgyeopsal,1,21,7.291139330182757,1.4930272893409073
samgyeopsal,2,379,7.172038172669021,1.5709407526184742
samgyeopsal,3,70,7.416366566930498,1.2957865468492953
samgyeopsal,4,8,7.712599515914917,0.47386111524226143
samosa,1,67,7.360264539718628,1.332514743366297
samosa,2,386,7.350866109287183,1.436720745975207
samosa,3,15,6.935272661844889,1.8835984806284751
sashimi,1,5,7.156682968139648,1.186154289289569
sashimi,2,428,7.087406460648385,1.6481354516503044
sashimi,3,40,7.383585155010223,1.4470260321106432
sashimi,4,20,7.300503730773926,1.2817555099207276
satay,1,57,7.058447666335524,1.5611459905479839
satay,2,423,7.063136845615738,1.657897200633538
satay,3,5,6.813803863525391,2.3679589844843676
scallion_pancake,1,35,6.655098376955305,1.8994141891332403
scallion_pancake,2,423,7.002981998678076,1.6283211623736333
scallion_pancake,3,9,7.113655037350124,1.905728047227111
shawarma,1,140,7.087099724156516,1.774498779871854
shawarma,2,317,7.091284653741854,1.7801319240180136
souffle,1,21,6.868073486146473,1.5515490271850692
souffle,2,164,7.222381299588738,1.4782145977730652
souffle,3,283,7.562586019401415,1.0039405319001604
souffle,4,27,7.621096363774052,0.9278773655278514
soup,1,72,6.551675909095341,2.1761810864414266
soup,2,375,6.684436932881673,1.9771371119904693
soup,3,35,7.603131607600621,0.914030765066166
soup,4,7,6.4934916496276855,2.4879152350783436
spanakopita,1,127,7.467694231844324,1.3591089936524816
spanakopita,2,324,7.355926840025702,1.471355047121134
spanakopita,3,25,7.385466899871826,1.4519169669406324
spring_rolls,1,128,6.465819320641458,2.1534583799307607
spring_rolls,2,340,6.963038510785383,1.8187078879263696
spring_rolls,3,10,7.3853835105896,1.75824337998253
steak,1,77,6.7138146053661,1.9329004271226857
steak,2,283,6.688425192563357,1.934456386151711
steak,3,102,6.922841392311395,1.768212112678731
steak,4,24,7.248750180006027,1.723307437772855
sundubu_jjigae,1,5,6.434941196441651,1.418903522814531
sundubu_jjigae,2,272,7.142209306797561,1.5103256403787733
sushi,1,27,6.665832369415848,1.9880686610118923
sushi,2,434,6.981411503481975,1.79423640862076
