main,side,H_meal,E_meal,log_DEI_meal,total_cal,total_protein,main_cuisine,side_cuisine
pot_roast,idli,3.1277021463414636,1.0277754242600388,1.1129019121150001,1025.0,82.8,American,Indian
pot_roast,minestrone,3.1039974901052227,1.0314100009666607,1.1017639946361477,1035.9,75.14999999999999,American,Italian
churrasco,congee,2.7179337233376155,0.9235436022444768,1.0794091974143372,941.87,79.63,South American,Chinese
churrasco,ratatouille,2.678387285467655,0.915223334165598,1.0738020166734497,984.7,69.16,South American,French
pot_roast,congee,3.0701551413799706,1.0547487880345665,1.068425472006768,940.02,81.71,American,Chinese
donburi,dosa,1.1488976496674057,0.3961611575938109,1.0647371040449927,902.0000000000001,53.825,Japanese,Indian
pot_roast,ratatouille,3.0151853894287024,1.0464285199556875,1.0582783606611421,982.85,71.24,American,French
fajita,dosa,1.119715153473344,0.39335391503255734,1.046119850909952,928.5000000000001,54.31,Mexican,Indian
churrasco,chicken_salad,2.3091223546807136,0.8487619348767694,1.0008440577998237,1082.1,96.03,South American,Other
churrasco,sardines_grilled,2.633686440924284,0.9722051191280612,0.9965730221810676,1032.15,105.42999999999999,South American,Portuguese
pot_roast,sardines_grilled,2.9548931961564597,1.1034103049181507,0.9850568457189529,1030.3,107.50999999999999,American,Portuguese
pot_roast,chicken_salad,2.6149208979402916,0.979967120666859,0.9814701059260328,1080.25,98.10999999999999,American,Other
churrasco,adobo,3.09740694008598,1.164166442850584,0.9785599592875451,1102.58,115.88199999999999,South American,Filipino
pot_roast,adobo,3.3988407184323126,1.2953716286406736,0.964636782407075,1100.73,117.96199999999999,American,Filipino
churrasco,yakitori,2.6206473564954686,0.9998980496101688,0.9635233254721028,1059.2,101.965,South American,Japanese
pot_roast,yakitori,2.9336139215964447,1.1311032354002584,0.9530416123783769,1057.35,104.04499999999999,American,Japanese
churrasco,dosa,2.335082605189507,0.9419769942107369,0.9078216944355303,1054.0500000000002,77.63999999999999,South American,Indian
pot_roast,dosa,2.6490789013495535,1.0731821800008263,0.9035837602951818,1052.2,79.72,American,Indian
