dish_id,cuisine,H_mean,E_composite,log_DEI,NDI,log_NDI,log_DEI_N,calorie_kcal,protein_g,meal_role,rank_DEI,rank_DEI_N,rank_shift_N,is_pareto_3d
tapas,Spanish,7.397,0.1942673219562087,3.639594632796097,4.988899646940313,1.6072153738119541,4.443202319702074,486.8999999999999,19.76,Full Main,114.0,113.0,-1,False
udon,Japanese,6.941,0.1444559831100882,3.872226289346816,3.1006682083643917,1.1316176393485908,4.4380351090211105,793.9,25.68,Heavy Main,70.0,114.0,44,False
okonomiyaki,Japanese,7.216,0.1942506282035568,3.614906838504788,5.154674112031189,1.6399038976298907,4.434858787319733,640.1999999999999,32.66,Full Main,123.0,115.0,-8,False
elote,Mexican,7.372,0.1805572994317562,3.709396143017472,4.243760389526178,1.4454497605165535,4.432121023275749,385.55,11.020000000000001,Light Main,99.0,116.0,17,False
hot_dog,American,7.057903029918671,0.186911584136972,3.631267572167813,4.952690241359956,1.599930912050167,4.431233028192896,415.7,20.275000000000002,Full Main,117.0,117.0,0,False
dolma,Mediterranean,7.407,0.1463439103506557,3.924221375917714,2.7049214338905383,0.9950728671041931,4.421757809469812,326.9,4.57,Light Main,60.0,118.0,58,False
wonton_noodle,Chinese,6.999437750101089,0.1706561372336773,3.7139344648256767,4.1090725592570605,1.4131973483623144,4.420533139006833,704.6000000000001,40.14,Heavy Main,97.0,119.0,22,False
crepe,French,7.239,0.1703383946222554,3.749451339174017,3.730954028148034,1.3166639725731961,4.407783325460615,497.15,15.735000000000001,Full Main,94.0,120.0,26,False
tortilla_espanola,Spanish,7.174698081493378,0.1919485336685301,3.621088678222895,4.797730230106571,1.5681429373483728,4.405160146897082,578.2,17.040000000000003,Full Main,121.0,121.0,0,False
galette,French,7.647886563945749,0.1892821171027535,3.6989460373021976,4.105575763722729,1.4123459921975572,4.405119033400976,704.25,26.435000000000002,Heavy Main,102.0,122.0,20,False
tom_kha,Thai,7.207,0.1858816088936304,3.657698095195142,4.3850905273750955,1.4782102703944198,4.396803230392352,548.9,29.835000000000004,Full Main,110.0,123.0,13,False
tonkotsu_ramen,Japanese,7.15318553686142,0.1856153352164573,3.6516366240726574,4.2801280202241365,1.453982920413694,4.378628084279504,769.9000000000001,44.855,Heavy Main,111.0,124.0,13,False
rice_and_peas,Caribbean,7.025082610607147,0.1843953955683595,3.640159912641916,4.337080820569603,1.4672014998120857,4.373760662547958,595.0500000000001,19.94,Full Main,113.0,125.0,12,False
clam_chowder,American,6.858,0.1957745939328879,3.556207166540037,5.114757066498569,1.632129903945018,4.372272118512546,595.75,28.985000000000003,Full Main,136.0,126.0,-10,False
fondue,Swiss,7.417668215513229,0.2317808476658305,3.465827727003456,6.1003155094064185,1.808340492695196,4.369997973351054,858.0,44.75,Heavy Main,156.0,127.0,-29,False
baba_ganoush,Mediterranean,7.495,0.2283327510889237,3.4911874109213503,5.739597547364537,1.7473890941738366,4.364881958008269,309.00000000000006,6.065,Light Main,147.0,128.0,-19,False
manty,Central Asian,7.4271144175985055,0.2208545689303118,3.5153882674156023,5.4594991376088124,1.697357052510402,4.364066793670803,672.9000000000001,33.83,Full Main,143.0,129.0,-14,False
dan_dan_noodles,Chinese,7.243,0.1768632843021446,3.712413735152621,3.6485837971552253,1.2943390915232313,4.3595832809142365,918.7500000000001,42.065,Heavy Main,98.0,130.0,32,False
