family,dish_1,dish_2,H_1,H_2,H_diff,n_1,n_2,t_stat,p_value,cohens_d,effect_category,significant_005,significant_bonf
Seafood,fish_and_chips,sushi,6.800981203317642,6.973915680646896,0.17293447732925404,500,500,1.458083585852872,0.14513520312864944,0.0922173030040148,negligible,False,False
Seafood,fish_and_chips,tempura,6.800981203317642,6.976093923807144,0.17511272048950222,500,500,1.4883534705458554,0.13697791765485923,0.09413173860682468,negligible,False,False
Seafood,sashimi,sushi,7.111825874567032,6.973915680646896,0.1379101939201357,500,500,1.2803787205037933,0.20071201019179805,0.08097826048808236,negligible,False,False
Seafood,sashimi,tempura,7.111825874567032,6.976093923807144,0.13573195075988753,500,500,1.272506787233166,0.20349113972156796,0.08048039571360155,negligible,False,False
Seafood,sushi,tempura,6.973915680646896,6.976093923807144,0.002178243160248172,500,500,0.01952302585077388,0.9844277721727335,0.0012347445701358403,negligible,False,False
Chicken,chicken_sandwich,coq_au_vin,6.743452202796936,7.166124363400242,0.42267216060330615,500,409,3.6294136839856366,0.00029995322279220156,0.239395345083804,small,True,True
Chicken,chicken_sandwich,fried_chicken,6.743452202796936,7.047846906423569,0.3043947036266328,500,500,2.6677067722710537,0.007764011250466323,0.16872059059665293,negligible,True,False
Chicken,chicken_sandwich,korean_fried_chicken,6.743452202796936,6.228400840997696,0.51505136179924,500,500,4.054697706545242,5.4123823597688844e-05,0.2564415995228796,small,True,True
Chicken,chicken_sandwich,kung_pao_chicken,6.743452202796936,6.488988980531692,0.25446322226524387,500,500,1.947991579940209,0.05169969646979608,0.12320180510882055,negligible,False,False
Chicken,chicken_sandwich,tandoori_chicken,6.743452202796936,7.061005901098252,0.31755369830131563,500,500,2.7552897603573334,0.005972786202477668,0.17425982512937366,negligible,True,False
Chicken,chicken_sandwich,teriyaki,6.743452202796936,6.712053010463714,0.03139919233322175,500,500,0.2515338401064042,0.8014532334786076,0.015908396866896945,negligible,False,False
Chicken,coq_au_vin,fried_chicken,7.166124363400242,7.047846906423569,0.11827745697667336,409,500,1.1043571669463093,0.2697375665000713,0.0734325477130776,negligible,False,False
Chicken,coq_au_vin,korean_fried_chicken,7.166124363400242,6.228400840997696,0.9377235224025462,409,500,7.7642407598480885,2.2257281487182116e-14,0.5105585737736063,medium,True,True
Chicken,coq_au_vin,kung_pao_chicken,7.166124363400242,6.488988980531692,0.67713538286855,409,500,5.436294370631287,7.022615676641601e-08,0.356614918134521,small,True,True
Chicken,coq_au_vin,tandoori_chicken,7.166124363400242,7.061005901098252,0.10511846230199051,409,500,0.9704088215232204,0.3321054836321451,0.06444966920195747,negligible,False,False
Chicken,coq_au_vin,teriyaki,7.166124363400242,6.712053010463714,0.4540713529365279,409,500,3.832992090058895,0.00013534557605331764,0.2524518915297452,small,True,True
Chicken,fried_chicken,korean_fried_chicken,7.047846906423569,6.228400840997696,0.8194460654258728,500,500,6.914775625863391,8.587992772894686e-12,0.4373288097348926,small,True,True
Chicken,fried_chicken,kung_pao_chicken,7.047846906423569,6.488988980531692,0.5588579258918767,500,500,4.567314506849617,5.6042628653882724e-06,0.28886233263947,small,True,True
Chicken,fried_chicken,tandoori_chicken,7.047846906423569,7.061005901098252,0.013158994674682845,500,500,0.12438887970572882,0.9010324402161065,0.007867043509335963,negligible,False,False
Chicken,fried_chicken,teriyaki,7.047846906423569,6.712053010463714,0.33579389595985454,500,500,2.891019120894533,0.003926226321664491,0.18284410362248818,negligible,True,False
Chicken,korean_fried_chicken,kung_pao_chicken,6.228400840997696,6.488988980531692,0.2605881395339962,500,500,1.9375791879148676,0.052957174868122965,0.1225432676150075,negligible,False,False
Chicken,korean_fried_chicken,tandoori_chicken,6.228400840997696,7.061005901098252,0.8326050601005557,500,500,6.960817376608628,6.264012294503122e-12,0.44024074573122657,small,True,True
Chicken,korean_fried_chicken,teriyaki,6.228400840997696,6.712053010463714,0.4836521694660183,500,500,3.7530847224069386,0.0001847601652264533,0.23736591948773408,small,True,True
Chicken,kung_pao_chicken,tandoori_chicken,6.488988980531692,7.061005901098252,0.5720169205665595,500,500,4.634255170462141,4.087400482471957e-06,0.2930960319414446,small,True,True
Chicken,kung_pao_chicken,teriyaki,6.488988980531692,6.712053010463714,0.22306402993202212,500,500,1.6845132425901403,0.0923974214357607,0.10653797190601196,negligible,False,False
Chicken,tandoori_chicken,teriyaki,7.061005901098252,6.712053010463714,0.3489528906345374,500,500,2.975395007678734,0.002998597854778893,0.18818050325917968,negligible,True,False
Noodle/Pasta,chow_mein,dan_dan_noodles,6.050800094127655,7.242503416776657,1.1917033226490021,500,500,9.773358650514778,1.9376067532243655e-21,0.6181214745067254,medium,True,True
Noodle/Pasta,chow_mein,lasagna,6.050800094127655,6.88505160856247,0.8342515144348148,500,500,6.232729276095594,6.846193780979019e-10,0.3941924110334906,small,True,True
